SMILES,QED,MW,LogP,HBD,HBA
CC1CC(F)CC2CC1C13C(C4CNC5CCCCC54)C4CC1C23C4,0.7202,343.53,4.811,1,1
COC12CC3C4CNC5(NCC6(CCCCCC6)CCN45)C3CCCC1C2C,0.719,387.61,3.719,2,4
CC1(C)CC1N1CC2C3CC1CC14SCC5CCCC1C52C34,0.7186,315.53,4.027,0,2
CNC1C(C)C2C3(CCNC(N4C5CC6CN(CC78CC9C(C)C9C7C8)N5N64)C3)C12C,0.7184,424.64,1.927,2,6
CCC1CC23CN(CCC4CCC5C6CC7(C)NOC7C56N4)CN4CCCCN4C2C13,0.717,427.64,2.18,2,6
C.CC1CCCCC1C1(C)CCCCCCCCCN1CC(N)O,0.7169,340.6,4.921,2,3
CNC12CCC13C1N4CC56C(CCCCNC4C13CC2OC)CC5C1C2CCCC1C26,0.7151,423.65,3.226,2,4
CC1(C)CS1(C)CON1CC2C3NCC4C5C6C7CCCCCCCN7C65C43C21,0.7146,417.66,3.027,1,4
CCC.CCCC1C(CC2C3CC4CCC2C4NCNCN3)C2C3C1C23,0.7142,359.6,3.812,3,3
C.CCC1CCC(CCCC2CCCCN2)C(CCN)C1,0.7127,296.54,4.726,2,2
CCCC1CC1CCC1NCC2C(CCC3CCCCC32)CC1CN,0.7122,346.6,4.972,2,2
NN1N2CCC3N4CC5CC(CCN6CCCCNCC6)CC42C531,0.7115,332.5,0.031,2,6
CCC(O)N1C2CC3CC1(C2)C3C1CCC(C2CC2CCN(C)CC)C1,0.7096,360.59,3.962,1,3
C.CC1C2CC3CC3(CN)CC2C1C1CNC2C(CNC3CCCC32)C1,0.7093,359.6,3.246,3,3
C.CCCC1NC23CC1C14NC2C31C1CCCCC2C(C14)N2C1CCC2CC2C1,0.7093,395.64,3.925,2,3
CN1CCN(CCC2CC3NC24CC3C42CCCC3CCN4CC5(CCC6CC65)C342)CN1,0.7092,437.68,2.497,2,5
CCCCC(CC)CCC1C2C(F)C3OC(N)C13C1CC3(C)CC3C21,0.7084,349.53,4.913,1,2
CCC1CC2(C3CC3C3C(N)C4C3C3C(CC5OC6CC(O)CC65)CCCN34)CC12C,0.7073,426.65,3.413,2,4
CC(C)CCCC1CCC1C(CC1CC2CC21)N1CCC1(C)N,0.7065,318.55,4.634,1,2
OC1C2CCCCC3CC3C23C2C4CCCCC4CC123,0.7064,272.43,4.0,1,1
CCCCC1CCC1C(O)CC(C)C1C2C(C)NC2N2C(C)CCCC12,0.7046,362.6,4.397,2,3
CC1CC(N2CCN3CCNCC4CCCCC4CCCCCC3N2)CC1C,0.7014,390.66,4.229,2,4
CCC(O)NC1CCC2C3CCC4NCCCC4(C3)C2C1,0.7008,292.47,2.641,3,3
CCCC1CC(CC(CC23CCC2N3)C2C3CCCCC32)N1,0.7004,302.51,3.854,2,2
CCC1NCC(C2CC2CCC2CC2(C)CC)N1N1CC23CN(C)N2N13,0.6991,360.55,2.084,1,6
CCCC1CC1CCNC1(CC)CCCC12CCCC(O)C2C,0.6986,321.55,4.902,2,2
C.CC1CN1CCCC1CCCNC2C(CC1)CCC1C3C4C5C(C4C123)C1(C)CN51,0.6984,411.68,4.23,1,3
CCCCNC1C2CC13CC(C)OC1C4C5C(CC14C23)C5C1CCN2C(C1)C1CC12,0.698,408.63,3.923,1,3
CC12C(CCCC3CCN1CCN(C1CC(N)C4(CCC4)C1)C3)OC1CCCCC12,0.6978,415.67,4.171,1,4
CCCC1C2C3CN4CC5C(O)C56C(C4)C6N4C(N)N4CCCCCCCCC132,0.6976,400.61,2.459,2,5
C.CCCC1CC23CC2(C2CCC(C4NC5CCN6CC6C54)CC2)CCCC13.O,0.6961,402.67,4.645,1,2
CCCC1NCCC1CC1CC2C(CCC(C)CC)C1N1C3C(N)C1C23,0.6953,359.6,3.625,2,3
CC(N)CC12C3C4CCC5C(CC6NCCCCCCCC65)CC4C4C35CC1C425,0.6937,394.65,4.971,2,2
C.CCC(O)NC1CCCCCC2CC3C(CC1C)NN1C2CC31,0.6919,337.55,3.265,3,4
CC(C)C1C2NC2CC2C3CC2N3NC1C1C(C)N2CCN3CC3CCC23CC13,0.6917,397.61,1.506,2,5
C1CCNCN2CNC3CCCCC3CC2CC1,0.6915,251.42,2.288,2,3
CCCC1C(C)CC2C1NCNC1NC3C4CCCC4C3CC(C(C)C)CN12,0.6908,388.64,3.596,3,4
CCC(O)N1CCC2CC3(CC21)NC1C(CCCCCCC2CC21)C1CCC3C1,0.6896,400.65,4.933,2,3
C.CC1CC1C1CCC2CC3CN(O)N4C56C7C8CCC9CC9N8C5N7C46CC231,0.6893,396.58,2.962,1,5
CCC(O)N1CCCC(CCC2CCCC23NC2NC4CCCCC4N23)C1,0.6888,376.59,2.807,3,5
CCC(CNC)C1CNC2C(C1)C1CC(C34CCCCC3C4C)CCNC12,0.6883,373.63,3.651,3,3
CCC(O)NC12CCCC3CC45CCC(C4)NCN3C1C51CC1CC2,0.6882,345.53,2.57,3,4
NCN1C2CC3CC4C5CC(CC4(C3)C21)C1CC(N2C34CCC(CC3)C24O)CCC15,0.6882,409.62,3.143,2,4
OC1C2CC(NC3NCCC4C5N6C(N34)C53CC4CCCCC463)CC12,0.688,342.49,0.649,3,5
CC.CC1CC(C2C3C4CCCC(N5C6CC(C)N(CCCC5(C)C)C6)C4N23)CN1,0.688,416.7,3.952,1,4
CC1CC1C1NC2C3C(C)CC4CCC45NCC5CCCC2N1C1CCC3CC1,0.6876,397.65,4.378,2,3
CC(CCC1CC2C1C1C3CC231)C1C2NC3C(CCN)C4C5C(C)C6CC7C(C754)C21C63,0.6867,416.65,4.004,2,2
CC(C)C1NC(C2CCC(Cl)C(O)C2)C2C(N)CCCC12,0.6864,314.9,2.495,3,3
C.CC1CC1CC1CC2CC(C3CO3)C3C45CCCC6C4C65C123,0.6848,312.5,4.756,0,1
CC(C)(O)C1CNCC2C3CCC4(CC4CCCN1)C32,0.6847,278.44,1.761,3,3
CC(N)C1CNC2CC3C(CC4C2CC43)C(CCC(C)C2CCCCC2)N1,0.6844,373.63,3.921,3,3
NCN1C(O)NC2CC13C1CC45CCCCCCCCC4CC5C3C21,0.6836,345.53,2.618,3,4
C.CCC1CCCCC1N1C2CCC(O)C1N2C(N)N1CCC2C(C3CCCCC3)C21,0.6832,432.7,4.159,2,5
CC1CCC2C(C1)C1C3CCC4C5C6N7CCCN6C7N5C41C23,0.68,311.47,2.392,0,3
OC1NCNC2CC3(CC2CCC1C1CC1)C1C2C4C5CC6CC65C1C423,0.6795,352.52,2.558,3,3
CCCS1(O)OC12CCCC1CCNCCCCC3CN4C5CCN4C5C3C12,0.6793,409.64,3.815,2,5
CCCC(O)N1C(C)C1CCNC1CCOC(C)C2CN3CC3CC2C1,0.6764,365.56,2.045,2,5
CCC1CCN2CC34CC3C2(CC(OC)C1)C4C1NC2C(CC1C)CC21CC2CC(C)NC21,0.6761,453.72,4.045,2,4
C.CCCC1CC(C2CCC(C)C2)NC(C2CC34C5CCCC6N3CCC65N4N2)C1C,0.676,428.71,4.757,2,4
CC1C(F)CCCC1C1CCC2NC(NC(O)C3CC3F)SC2C1,0.674,360.51,3.184,3,4
CCC1CC(C)C2CC34C5C6C(C7C8C9C%10C9C%10C876)C53N4C2CC1CC,0.674,347.55,4.278,0,1
C1CCC2(CNCC3OC3C1)C1CC(C3CC4C5C6CN5C6N34)C2N1,0.6739,342.49,0.361,2,5
C.CC(C)CCCOC1CCN2CC3C4CC4C3N3C4CCC5CC5C4C123,0.672,372.6,4.224,0,3
NC1C(N)N(C2C3CCC4CC432)C2C3CC4C5OC5C43C12,0.6714,285.39,0.115,2,4
COC12CC(CC3C4CNC56C7C8CCCCNCNCCC87C5C436)C1C1C3CC312,0.6713,407.6,2.208,3,4
CC1OC2CCC3CC3C1C1NC3CC4CCCCC4C34CNC3CC34C1C2,0.6698,382.59,3.725,2,3
CCC1(OC)CCC2(CCC3CC4C(CNCCCN3)CC35CCC3(F)CC45)CC21,0.6697,418.64,4.848,2,3
CCOC(O)CCCC1C(N)C23CC2N2CN1CC1C4CCCCC4CN1C23,0.6684,390.57,1.385,2,6
CC1NC2CC2C1C1CCC2C(C1)C21C2CC(N3CC3C3CCC4CCCC4C3)C21,0.6683,406.66,4.934,1,2
CCCC1CC23C1CCC2C3CNCC1CC2CN2CCCN1CCC,0.6681,359.6,3.597,1,3
CC1C2C3CCN4C3C3CCCCCCC(C3)CN4C12,0.6665,274.45,3.532,0,2
CCC1CCCNCN1CCCC1(C(N)N2CCCC(F)C2C)N2CN21,0.6644,368.55,1.495,2,6
C.CC1CCC23CC4CCCNC2CC25C6CC(O)CCC62C5C3C4C1,0.6632,357.58,4.614,2,2
CC12CC3CC3CCCCNC1CC1CCCNCC1CCCC2CN,0.6632,361.62,3.926,3,3
CC.CCCC1CCCC(NC2CC3C4C5C(O)C45N3C2C2C3CNCC2C3)C1,0.6628,401.64,3.001,3,4
CCC(O)NC1CC2CC(C3C4C3C43CCC4CC(O)C4C3)CC23CC13C,0.6627,371.57,3.542,3,3
CC(C)CC1CCN2C1(CC1C(C)CCCCCNCCNC1C)C1C3C4C1S342,0.6626,419.72,4.373,2,3
CCC(O)C1(P)CCC(C2CC3NCCC3C3NC4CCCCC4C23)C1,0.6604,378.54,3.316,3,3
CN1CCC2C3CCCNCCN(CC4CC5CCC6C(C5C4)C4C6C5C6C4C56)CCC3C2C1,0.6588,463.75,4.296,1,3
CCCC1C2CC(NCN3CCC(C4C5CCCC6CN6CC6C7CC7C6C54)N3)C12,0.6587,410.65,3.159,2,4
C1CCCCC1.CC1CC2CN1C21CC2C3C(N4CCCCC4)C3N3C1N23,0.6565,370.59,3.287,0,4
CCNCCC1CC2C1C1CCN3C4C5CCNC5NCN4C123,0.6555,317.48,0.408,3,5
CCC1CCCC12CC1C3(C2)NC2CC(C4CCC5CC5C4C)CC24NNCC143,0.6544,395.64,4.242,3,3
CN1CCC(C2CCCC(NC3CN4CCCC(C5CCC6C7CCC7C6C5)C4N3)C2)CC1,0.654,454.75,4.516,2,4
CC1CCC(C2CC2N)CCC(C2CC(C(C)O)C3NCCCCCCC23)C1,0.6532,390.66,4.722,3,3
COCCCC1CCN1C(C)CCCC1CC2CC2CCCN1,0.6531,322.54,3.824,1,3
CCC(O)NCCC1CC2CC3CCNC4N5C6CCC5C(C6)N4C32C1,0.6515,360.55,1.677,3,5
CC.CCCC1CNCCC2NC2C1.NCN1CC2C1C1C(C34CC3C4)N21,0.6513,375.61,1.585,3,5
CCC1C(C)CC2C3NCNC4C(CN5CC5CC5N4CCC4CCC56CC46)C3C12,0.6509,410.65,2.954,2,4
CCCC(C)C.OCNC1CCC2C3CCCNCCCC3C2CC1,0.6503,352.61,4.553,3,3
CC1CC23CC4C5C6C7NCC8C(CC9C%10CC%10CC97)C7CC7C8CC56C4N2N1C3C,0.6496,417.64,3.609,1,3
CC(C)C1C2C3NC4CC5CCNC5C4NC3C23C2CC4CCCC42CCN13,0.6483,382.6,1.954,3,4
CC1CCCCNN2CCC(C(C)NC3CCC(CC(O)(F)F)CC3)C2C1C,0.6477,401.59,4.15,3,4
CC(C)CCCC(N)CC1NCCC2NC(C)C(C)N3C(C)CCCC3CN12,0.6473,393.66,3.101,3,5
CCC(O)NCCC12CCC13CC3C(C1CC3CNCCC3C1C)C2,0.6461,346.56,3.383,3,3
C.CC1C2C3(C)C4CC4CC(C4C(C5CO5)C5C4C4C6CCCCC6CN45)C123,0.6454,381.6,4.685,0,2
CC(C)OC(C)CCCCN1NC23OC(N)C2C1C12C(CC31)C1C3CC4CC4C312,0.6448,399.58,2.708,2,5
CC(C)O.NC1C2CC3CCC2C(C3)CC12CCCCNC2,0.6447,308.51,2.917,3,3
CCC1OC1C1CCCCNC(C23CCNN2CNC2C3C3CN32)C1C,0.644,361.53,0.708,3,6
CC1CCCC2C1C1CCC3NC4NC(O)C5CC5CC3(C1)C42,0.6437,316.49,2.701,3,3
CCCC(O)CCCC1CC23CC4CC4CCCC2C32CCCN2CN1.CN,0.6431,391.64,3.873,3,4
CCC(C(CC1(C)C2C3CC4C(CCN43)C2N1C)CS1(O)OC1N)N(C)C,0.6392,398.62,1.963,2,6
CN1CCC(C2C3CC4NCCC(C5CCC6OCC7CC(Cl)CCC7N6C5)N4C32)CC1,0.6368,463.11,3.181,1,5
CC1(C(N)O)C2NC3C4CCCC3C(CC4)C2C2C3CCCCC3N21,0.6368,345.53,2.062,3,4
C.CCC1(C)CC1CC1CC1CCC1CCCC2CN2CN1C,0.6359,320.57,4.991,0,2
COC1CCCCC1N1C2CC(NC3CC4C5C6CC6C45N31)C2C(N)O,0.6355,360.5,0.465,3,6
CC(C)(O)C1CC2CC2CN2C3CCCC(C4CC4C4CCCCC4)C3C2CNC1N,0.6352,429.69,3.973,3,4
CC1C2CCCCC2N(CCCC2CCNC3C(CCC4NCCC43)C2)C12CC2.P,0.6335,433.67,4.624,2,3
CC(CC1CCCC(C)(NCCC(N)O)C1)C1C2CCC3C2C31,0.6317,320.52,3.12,3,3
CCCC(CCCC1CCC23C(C1)C1CN2C2NC4NCNC3C4C12)C1CC1,0.6307,384.61,3.104,3,4
CC1(C)C2CCCCCCC(C34C5CNC3N4C5)NCCCCCC21O,0.6287,361.57,2.86,3,4
CCC1C(OC)C2C1C21CCN2C34NCCN5CCN6CC(NC7CCC(C)C7)CC6C53C214,0.6263,453.68,1.32,2,6
CC1CCCCC2N3N4CN4C23CCCN2CCCC2CCCN1C,0.6243,347.55,2.705,0,5
CCCC(CC)CCCN1C(C(C)O)NC2CNC3CCSC3C21,0.6242,355.59,2.42,3,5
C.CC(O)C1C2CCC3CC3CCCCCNC3CC(N)C3C2N2OC12,0.6227,365.56,2.487,3,5
CC1CC(NC2CCCC3C(N(C)C4C5CCC5C4NC4OC45C(C)C5F)N23)CN1C,0.6204,433.62,1.57,2,6
C.CC1CCCC(C2CCC(CCCN3CC45CCN3C4C5)CN2)C2CCNNCC12,0.6202,431.71,3.632,3,5
CC(C)CCCCNC1CCC2C3(CC3CCN)C3CC4C5CC5CN4C23C1,0.6202,385.64,4.019,2,3
CC1CC2CC(N3C4C5C(CC(N6CCCCCC6)N43)CN3CC5O3)C3CC23NCC2C1N2C,0.6193,468.69,1.772,1,7
CC(CC1C2CCCNC2C2C3CCCCC3CC12)C1C2CCC3(C1C2)C1CN(C)CCN13,0.6178,451.74,4.868,1,3
CC1CC2CC3CC(C24CC4C1)C12C4CC31C2N(CC(C)C1CC2CC3NCCC231)NCN4,0.617,448.7,3.597,3,4
C.CCC1CCC1C1CCC(CCC2CN3NC4C5C(O)CC6CC67CC57C4C3N2)C1,0.6169,427.68,4.149,3,4
C.CC(CCCC(F)(F)F)CC1CC(C2C3C4CCN5C4NCN3NN25)CCN1,0.6166,418.55,2.661,3,6
CCCCCN1CCC(CC2C3C4C5CCC36C2C546)NC2OC(C3C(C)CCNC23)C1C,0.6164,439.69,3.86,2,4
C.CCC(O)CCCC1CNCC12C1CC1C1CCC3NC4CC5CCCC4C53C12,0.6163,414.68,4.592,3,3
OC12NC3CC1(C3CCCCCC1CCCNCC1)C21C2CCCC1CC2,0.6123,372.6,4.203,3,3
CC(C)C12OC1C2C1CCCCCCC2NCC3(CC4C56C3C5C43C6CCC4CN43)C2NCC1,0.6114,463.71,3.799,2,4
C.CCC(O)NC12C3C14CCNCCCCN1C(CCC5C6C7(C)C8C9C1C87C596)CC342,0.6112,423.65,2.818,3,4
CCCCC(CC)C1NC(C2NC34C2C32NC(C)C43C4C(C)C4C23)C2CCCC3C2C31,0.6107,421.67,3.788,3,3
CC1CCC2NCC2CCC12CCN1C2NC23C(C12)C1C2CCC(C)(N23)C12CCOCC2,0.6086,438.66,2.764,2,5
CCCCC1CC2CCCCC3NNC4CNC5CCC2(CC1CN)C5N34,0.6081,375.61,2.534,4,5
CC(O)N1CCC2CCC3C(C4CCCCCCCC4)CC34CNCC4C21C.N,0.6075,405.67,4.954,3,4
CCCN(CC)C1CN2C3CCC4CC5CC(OC)CC6CCCOC7(CC)CC5C4(C3C12)C7N6,0.6071,485.76,4.301,1,5
C.CC(O)C1CC12CC1C3(CCNN4CCC(N)C5OCN6CCC7(CC7)CC564)CCC123,0.6055,444.66,2.666,3,6
CN.NC1C(CCCF)C1C1CC23CC2CCCC3NC2CC3CC3C2N1,0.6048,378.58,2.172,4,4
CCCC(CC(O)CCC(C)C)NC1N(C)CCC2N1C13CCCCC1N23,0.6034,378.61,3.147,2,5
C.CCCCC(CCOC)N1CC2CC2C12CCC1NC3C(NC1C2)C1CN2CN2C13,0.603,431.67,2.262,2,6
C.CC1C(C2CCC3C(C2)C2(F)OC32)C23CC4C(C)C5(C)N6C2N2C7CC(CC63C725)N14,0.6017,425.59,3.214,0,4
C.CCC(O)NCCC1CCCCCCCCCCC23CC1N2CC3CN,0.6016,381.65,4.263,3,4
C.CNCCC1NC2CC1C1CC13C1CNC4NCCC4C1N(C)C3C2,0.5999,361.58,0.826,4,5
CNCN(C1OC2CCCOCC21)C1OCC12C(C)CC1C3CCCNC3(N)C12,0.5987,406.57,0.9,3,7
C1CC2ON2C23CCC4CC5C6CCNC6NCN5C42C3C1.COCCC1(O)CC1,0.5983,418.58,1.379,3,7
CNC1CCC2C(C1)CN1CCC(C)C(NCCC3C(CCC4CC4)CN4CC34)C21,0.5974,414.68,3.183,2,4
NC(O)C1C(CCC2COC23CCCCCC3)NC23CCCC4(C5CCOCC54)C2C13,0.5973,430.63,3.193,3,5
C.OC1NC2CCC(CC3NCNC4CCCC43)CC2N1C12CCCCC1C2,0.597,390.62,2.751,4,5
NCCC1CCC2C(C1)C1CCC3NCC4C5CC6C(CC5N2C4C31)C61C2CCC3CCC3CC21,0.5969,475.77,4.899,2,3
CC1CCC(NCCC2CCC3C(C2C)C2C4CC5CC46C4C7NC7C46C532)CC1.CO,0.5967,424.67,4.058,3,3
C1CNCC(CC2NC(CC3CNCCN3)CC3C4CC4C23)C1.CCCC,0.5959,376.63,2.747,4,4
CCCC1CC2CN3C1CCC14C5CCC5C1CC41N3C3(C2OCC2CCCC(CN)C2)C2CC231,0.5953,477.74,4.825,1,4
CC12CC13CCC1NCC4CC5OC5CCCCCCCCC4CCNC1C23,0.595,386.62,4.651,2,3
CCCCCCC1C(C)CC1CCC1CC2CCNC2NCN1,0.5943,321.55,3.854,3,3
COC1CCCPCCN2CC34CC3OC3CCNC5C6C(CC3C2C4CCC1)C1C2C1C562,0.5942,470.64,3.592,1,4
CCC1CC2C1CC21CC2(CCCNC)NC(CC)C(C3CC3)CCNC21,0.5917,373.63,3.937,3,3
CC1CC2CCNC3CCCC(C3)C3CCNC2(CCCCNCN(C)C1)C3,0.5911,390.66,3.582,3,4
CCCCNCN1CC2CCC34CCC5C6C7C(C)(CC8NC(CC3C21C)C54N8)C67C,0.5906,424.68,3.536,3,4
CCNN1NCCC1CCCC1C(O)NC23CCC45CCC1(C)C42C53,0.5903,346.52,1.747,4,5
CCC1(O)CCC2C3CCCC2(CN1)CC1C3C2C3C45CCCCC4C25C32C(O)CC12,0.5886,423.64,4.324,3,3
CCCCC(CC)C1CCC2NC(NC(O)C3CC3F)SC2C1,0.5885,344.54,3.626,3,4
CCCCCCCC1CCC(C)C(C2CCC3(CCNC3O)CC2)N1,0.5884,350.59,4.592,3,3
CC(N)CC(C)CNCCCC1CCCCC2C(CC3CCN3C)C12,0.5882,349.61,3.876,2,3
CCC(CCC1C2C3NC4CC4C(CNC)C4C1C3C24)C(C)CCC(F)F,0.5866,380.57,4.408,2,2
CC1CCCCCC1C1C2C(C3CC3C)N1C21CCC2NCN(C3CCCNC3)NC2C1,0.5865,441.71,3.321,3,5
CCC1OC1CC(C)CC1CCCC2C1C1C3NCNC4(C)CC4CNCCCC3N21,0.5854,430.68,3.099,3,5
CC1C(O)NCNCC23CC4C5CCC(CNCC6CCCCC6)CC54C2CC13,0.5837,401.64,3.32,4,4
CC1C(F)CCCC1C1CCC23CC(NC(C4CN4F)O2)C2NC1N23,0.5836,354.44,1.711,2,5
CC1NC2CC3C4C5C(CC3([SH]24)C12CC2O)C1CC2C3CCCC3C215,0.5826,357.56,2.899,3,2
C.CCC(C1CCC2NC(NN(O)C3CC3C)CC2C1)C1C2CCCCC21,0.5823,377.62,4.793,3,4
CCCCC1CC2C1CC1C2N1C1NN(CC2CCCCCN2)C2CCCC(O)C21,0.5811,416.65,3.094,3,5
CC(C)N1C2CC3CC4CC5CC67CC(C6NC5C4C3C21)C1(CC23CCN4CC5C6C4C56C2C3)C(C)C71,0.5805,497.77,4.473,1,3
CCC(O)N1CCCC(NC2CCC3C(C)CNCC(C2)N3C2CCC3CCCCC3C2)C1,0.5798,460.75,3.959,3,5
